Date,City,District_Code,Division_Type,Frontage,Bedroom,Restroom,Floor,Ground_Area,Living_Area,Price
2024-11-06, TPHCM,D1HCM,Urban,1,6,6,6.0,160,960.0,67000
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,1,5,5,3.0,270,810.0,45000
2024-11-06, TPHCM,D1HCM,Urban,1,7,7,7.0,89,623.0,36000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,3,5.0,30,150.0,4100
2024-11-06, TPHCM,D10HCM,Urban,0,4,2,2.0,110,220.0,10000
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,1,7,8,7.0,110,770.0,21000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,45,90.0,4250
2024-11-06, TPHCM,DTANBINHHCM,Urban,1,4,2,2.0,300,600.0,37000
2024-11-06, TPHCM,D10HCM,Urban,1,1,1,6.0,180,1080.0,46000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,3,3.0,36,108.0,4790
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,0,6,7,5.0,70,350.0,11800
2024-11-06, TPHCM,D3HCM,Urban,1,2,3,4.0,225,900.0,40000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,50,100.0,4150
2024-11-06, TPHCM,D1HCM,Urban,1,10,10,10.0,150,1500.0,75000
2024-11-06, TPHCM,DTANBINHHCM,Urban,0,1,1,2.0,117,234.0,9500
2024-11-06, TPHCM,DTANBINHHCM,Urban,1,4,5,7.0,90,630.0,21000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,33,66.0,3880
2024-11-06, TPHCM,D6HCM,Urban,1,8,8,7.0,125,875.0,25300
2024-11-06, TPHCM,D3HCM,Urban,0,5,5,6.0,120,720.0,80000
2024-11-06, TPHCM,DBINHTANHCM,Urban,1,22,23,7.0,129,903.0,21900
2024-11-06, TPHCM,D1HCM,Urban,1,3,4,4.0,68,272.0,22900
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,5,4.0,42,168.0,5350
2024-11-06, TPHCM,D3HCM,Urban,1,2,2,2.0,350,700.0,100000
2024-11-06, TPHCM,D3HCM,Urban,1,6,7,7.0,108,756.0,63000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,5,3,4.0,42,168.0,4570
2024-11-06, TPHCM,D1HCM,Urban,1,7,7,7.0,200,1400.0,65000
2024-11-06, TPHCM,DBINHTANHCM,Urban,0,23,25,6.0,138,828.0,22000
2024-11-06, TPHCM,DTANBINHHCM,Urban,1,4,5,6.0,84,504.0,24000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,5,4.0,44,176.0,5880
2024-11-06, TPHCM,D10HCM,Urban,1,24,24,9.0,72,648.0,37000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,3,2.0,52,104.0,4500
2024-11-06, TPHCM,DTANBINHHCM,Urban,0,8,8,4.0,122,488.0,16500
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,3,3.0,43,129.0,4850
2024-11-06, TPHCM,D1HCM,Urban,1,5,4,6.0,100,600.0,50000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,2,2.0,50,100.0,5180
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,0,8,8,6.0,156,936.0,19500
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,4,3.0,64,192.0,5350
2024-11-06, TPHCM,D1HCM,Urban,1,3,3,3.0,399,1197.0,250000
2024-11-06, TPHCM,D10HCM,Urban,0,3,4,5.0,55,275.0,15000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,3,4.0,36,144.0,4500
2024-11-06, TPHCM,D12HCM,Urban,1,4,5,3.0,85,255.0,5900
2024-11-06, TPHCM,D1HCM,Urban,1,3,4,5.0,92,460.0,48000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,5,5.0,56,280.0,6650
2024-11-06, TPHCM,DTANPHUHCM,Urban,1,5,4,4.0,182,728.0,24000
2024-11-06, TPHCM,D1HCM,Urban,1,3,3,3.0,225,675.0,159000
2024-11-06, TPHCM,D12HCM,Urban,1,4,4,3.0,1550,4650.0,34000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,24,48.0,2250
2024-11-06, TPHCM,DBINHTANHCM,Urban,1,5,3,3.0,720,2160.0,53500
2024-11-06, TPHCM,D1HCM,Urban,1,7,8,9.0,179,1611.0,145000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,5,4.0,68,272.0,7200
2024-11-06, TPHCM,D1HCM,Urban,1,3,4,4.0,62,248.0,24000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,4,5.0,44,220.0,5750
2024-11-06, TPHCM,DTANPHUHCM,Urban,1,8,8,3.0,325,975.0,31000
2024-11-06, TPHCM,DTANBINHHCM,Urban,1,5,5,3.0,128,384.0,18900
2024-11-06, TPHCM,D1HCM,Urban,1,3,4,4.0,42,168.0,30000
2024-11-06, TPHCM,DBINHTANHCM,Urban,1,6,6,3.0,140,420.0,16000
2024-11-06, TPHCM,D3HCM,Urban,1,4,5,6.0,81,486.0,19000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,34,68.0,3980
